GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.company,CustomTableServiceImpl,301,744,24,42,57,121,19,34,5,15
service,com.company,KeyAlreadyExistException,3,4,0,0,1,2,1,1,1,1
